minute,X,Y,h_a,situation,shotType,lastAction,xG,result,Goal
11,0.974000015,0.52,a,OpenPlay,RightFoot,Pass,0.865912974,Goal,1
44,0.926999969,0.429000015,a,FromCorner,Head,Aerial,0.032095999,MissedShots,0
45,0.876999969,0.675,a,OpenPlay,RightFoot,Pass,0.066227801,MissedShots,0
60,0.893000031,0.567000008,a,OpenPlay,Head,Aerial,0.039804701,SavedShot,0
16,0.788000031,0.678000031,h,OpenPlay,RightFoot,Pass,0.025583699,MissedShots,0
23,0.939000015,0.54,h,OpenPlay,Head,Aerial,0.089716598,MissedShots,0
37,0.974000015,0.635,h,OpenPlay,LeftFoot,Pass,0.075892501,SavedShot,0
50,0.900999985,0.520999985,h,OpenPlay,Head,Aerial,0.0486775,MissedShots,0
81,0.829000015,0.572999992,h,OpenPlay,RightFoot,Pass,0.058549501,Goal,1
44,0.801999969,0.674000015,a,OpenPlay,RightFoot,Pass,0.025210399,ShotOnPost,0
62,0.925999985,0.405999985,a,OpenPlay,Head,Aerial,0.039080098,BlockedShot,0
1,0.818000031,0.555,h,OpenPlay,LeftFoot,Pass,0.061074499,SavedShot,0
20,0.813000031,0.557999992,h,OpenPlay,RightFoot,Pass,0.046725798,SavedShot,0
24,0.915,0.499000015,h,OpenPlay,Head,Cross,0.37244001,Goal,1
30,0.891999969,0.495999985,h,OpenPlay,LeftFoot,Throughball,0.467465013,Goal,1
56,0.81,0.575,h,OpenPlay,RightFoot,TakeOn,0.096810199,ShotOnPost,0
70,0.906999969,0.519000015,h,FromCorner,Head,Cross,0.085243396,BlockedShot,0
77,0.82,0.530999985,h,OpenPlay,RightFoot,Pass,0.075910702,MissedShots,0
5,0.92,0.479000015,a,FromCorner,Head,Aerial,0.053930201,MissedShots,0
19,0.765999985,0.485,a,OpenPlay,LeftFoot,Pass,0.029308001,MissedShots,0
63,0.935,0.545999985,a,OpenPlay,Head,Chipped,0.385809988,Goal,1
25,0.799000015,0.786999969,a,OpenPlay,RightFoot,Pass,0.0148481,BlockedShot,0
74,0.88,0.527000008,a,OpenPlay,Head,Cross,0.0682671,SavedShot,0
1,0.93,0.590999985,h,OpenPlay,LeftFoot,Cross,0.30042401,Goal,1
13,0.895,0.725999985,h,OpenPlay,LeftFoot,Cross,0.019954599,MissedShots,0
85,0.925999985,0.582999992,h,OpenPlay,LeftFoot,Pass,0.445841014,SavedShot,0
8,0.914000015,0.582000008,a,FromCorner,Head,Aerial,0.0189225,MissedShots,0
26,0.951999969,0.614000015,a,OpenPlay,RightFoot,Chipped,0.244866997,ShotOnPost,0
52,0.784000015,0.675999985,a,OpenPlay,RightFoot,Pass,0.0225286,SavedShot,0
15,0.831999969,0.731999969,h,OpenPlay,RightFoot,Pass,0.042876199,MissedShots,0
38,0.878000031,0.38,h,OpenPlay,RightFoot,Pass,0.404841989,SavedShot,0
41,0.733000031,0.592999992,h,DirectFreekick,RightFoot,Standard,0.056057401,MissedShots,0
66,0.790999985,0.442999992,h,OpenPlay,RightFoot,Pass,0.058272202,ShotOnPost,0
68,0.885,0.5,h,Penalty,RightFoot,Standard,0.743278027,Goal,1
6,0.86,0.32,h,OpenPlay,RightFoot,Throughball,0.108149,SavedShot,0
23,0.813000031,0.703000031,h,OpenPlay,LeftFoot,Chipped,0.024927299,MissedShots,0
35,0.955999985,0.522000008,h,OpenPlay,RightFoot,Cross,0.113269001,MissedShots,0
36,0.895999985,0.709000015,h,OpenPlay,LeftFoot,TakeOn,0.047659401,BlockedShot,0
44,0.809000015,0.395999985,h,OpenPlay,RightFoot,Pass,0.043859899,SavedShot,0
71,0.920999985,0.504000015,h,OpenPlay,RightFoot,Pass,0.135637,MissedShots,0
9,0.959000015,0.525999985,a,OpenPlay,RightFoot,Cross,0.567263007,SavedShot,0
16,0.935999985,0.671999969,a,OpenPlay,LeftFoot,None,0.313762993,Goal,1
28,0.885,0.5,a,Penalty,RightFoot,Standard,0.743278027,Goal,1
38,0.925,0.349000015,a,OpenPlay,RightFoot,Pass,0.116412997,MissedShots,0
64,0.865,0.73,a,OpenPlay,RightFoot,Pass,0.045045599,MissedShots,0
21,0.925,0.545999985,h,FromCorner,Head,Aerial,0.048388299,SavedShot,0
26,0.864000015,0.745,h,OpenPlay,LeftFoot,Pass,0.0279903,MissedShots,0
36,0.936999969,0.54,h,SetPiece,OtherBodyPart,Cross,0.388182014,Goal,1
61,0.804000015,0.630999985,h,OpenPlay,RightFoot,Pass,0.044750199,BlockedShot,0
80,0.755,0.405999985,h,OpenPlay,RightFoot,Pass,0.028548799,MissedShots,0
92,0.813000031,0.352000008,h,OpenPlay,LeftFoot,Pass,0.091247603,SavedShot,0
34,0.805999985,0.335,a,OpenPlay,LeftFoot,LayOff,0.0454702,MissedShots,0
62,0.918000031,0.654000015,a,OpenPlay,RightFoot,None,0.081114702,MissedShots,0
13,0.87,0.705999985,h,OpenPlay,RightFoot,Pass,0.038265601,SavedShot,0
52,0.929000015,0.62,h,OpenPlay,LeftFoot,Pass,0.426874995,SavedShot,0
70,0.890999985,0.542000008,h,OpenPlay,LeftFoot,Pass,0.425669998,MissedShots,0
78,0.935999985,0.475,h,OpenPlay,RightFoot,Pass,0.607339978,Goal,1
9,0.838000031,0.427000008,a,OpenPlay,LeftFoot,None,0.061252799,SavedShot,0
13,0.918000031,0.512000008,a,OpenPlay,Head,Cross,0.386595011,MissedShots,0
57,0.806999969,0.714000015,a,OpenPlay,RightFoot,Chipped,0.023550499,BlockedShot,0
64,0.920999985,0.435,a,OpenPlay,Head,Aerial,0.055938099,MissedShots,0
93,0.869000015,0.385,a,OpenPlay,LeftFoot,TakeOn,0.057337102,BlockedShot,0
94,0.971999969,0.524000015,a,FromCorner,RightFoot,Rebound,0.774426997,Goal,1
9,0.841999969,0.572999992,a,OpenPlay,LeftFoot,Pass,0.079494499,SavedShot,0
64,0.953000031,0.605999985,a,OpenPlay,Head,Cross,0.089518599,ShotOnPost,0
31,0.970999985,0.387999992,h,OpenPlay,RightFoot,TakeOn,0.577648997,MissedShots,0
31,0.938000031,0.602999992,h,OpenPlay,Head,Cross,0.085973904,SavedShot,0
37,0.92,0.572999992,h,OpenPlay,Head,Cross,0.112761997,SavedShot,0
41,0.860999985,0.67,h,OpenPlay,RightFoot,Pass,0.049381401,MissedShots,0
56,0.89,0.318999996,h,OpenPlay,RightFoot,Pass,0.049267601,SavedShot,0
62,0.801999969,0.512999992,h,OpenPlay,RightFoot,Pass,0.050033301,BlockedShot,0
63,0.888000031,0.330999985,h,OpenPlay,RightFoot,TakeOn,0.071401402,SavedShot,0
0,0.96,0.357000008,a,OpenPlay,Head,Pass,0.0158295,SavedShot,0
41,0.915,0.337000008,a,OpenPlay,RightFoot,Chipped,0.068343803,SavedShot,0
81,0.849000015,0.640999985,h,OpenPlay,RightFoot,Pass,0.071221001,BlockedShot,0
66,0.919000015,0.532999992,a,OpenPlay,Head,Aerial,0.060582899,MissedShots,0
82,0.918000031,0.282000008,a,FromCorner,RightFoot,Cross,0.031567302,SavedShot,0
55,0.936999969,0.474000015,h,OpenPlay,RightFoot,Cross,0.504832983,Goal,1
67,0.916999969,0.56,h,FromCorner,Head,Aerial,0.0296023,MissedShots,0
16,0.865,0.824000015,a,OpenPlay,RightFoot,Throughball,0.082915202,BlockedShot,0
34,0.751999969,0.385999985,a,OpenPlay,LeftFoot,Pass,0.0228184,MissedShots,0
46,0.936999969,0.579000015,a,OpenPlay,Head,Aerial,0.061192501,MissedShots,0
48,0.895,0.469000015,a,OpenPlay,RightFoot,Pass,0.135071993,BlockedShot,0
49,0.855999985,0.360999985,a,OpenPlay,LeftFoot,BallTouch,0.078467898,BlockedShot,0
25,0.875999985,0.54,h,OpenPlay,RightFoot,Cross,0.065000899,BlockedShot,0
87,0.958000031,0.602999992,h,OpenPlay,LeftFoot,Cross,0.076074801,MissedShots,0
90,0.87,0.675999985,h,OpenPlay,LeftFoot,Pass,0.0578853,SavedShot,0
6,0.91,0.258999996,a,OpenPlay,RightFoot,Pass,0.034167401,SavedShot,0
10,0.854000015,0.632999992,a,OpenPlay,RightFoot,Pass,0.238105997,SavedShot,0
58,0.858000031,0.781999969,a,OpenPlay,RightFoot,Pass,0.0240095,BlockedShot,0
82,0.953000031,0.517999992,a,OpenPlay,LeftFoot,Pass,0.614841998,BlockedShot,0
